Date,MV_35952H601,MV_AAPL,MV_AMD,MV_AMZN,MV_CVS,MV_EBAY,MV_FCEL,MV_GOOGL,MV_IYW,MV_MAR,MV_MSFT,MV_NEE,MV_NFLX,MV_NVDA,MV_SCWO,MV_TSLA,MV_XOM,portfolio_value,cash_balance,total_value,cash_balance_clean,total_value_clean,cumulative_deposits
2025-07-29,0.0,210.8261260986328,0.0,231.0099945068359,119.02694702148438,0.0,4.88999986648559,195.44723510742188,361.9660339355469,0.0,0.0,141.8353271484375,0.0,1754.9032592773438,27.5,321.20001220703125,332.60868072509766,3701.2136158943176,0.1,3701.3136158943175,2169.13,5870.343615894318,-66.01000000000045
2025-07-30,0.0,208.6107940673828,0.0,230.19000244140625,123.58964538574219,0.0,4.690000057220454,196.2260284423828,362.7658081054688,0.0,0.0,139.94287109375,0.0,1792.4992370605469,26.399999409914006,319.0400085449219,329.72106170654297,3733.675456315279,0.1,3733.775456315279,2169.13,5902.805456315279,-66.01000000000045
2025-07-31,0.0,207.1339111328125,0.0,234.11000061035156,123.19288635253906,0.0,4.960000038146967,191.60317993164065,362.505859375,0.0,0.0,140.08087158203125,0.0,1778.5006713867188,27.5,308.2699890136719,328.95494842529297,3706.8123178482056,0.1,3706.9123178482055,2169.13,5875.942317848206,-66.01000000000045
2025-08-01,0.0,201.9548187255859,0.0,214.75,123.92688751220705,0.0,4.719999790191645,188.8374786376953,354.3684387207031,0.0,0.0,138.77981567382812,0.0,1737.0053100585938,20.899999737739563,302.6300048828125,323.0618133544922,3610.934567093849,1.4300000000000002,3612.364567093849,2170.46,5781.394567093849,-66.01000000000045
2025-08-04,0.0,202.9227752685547,0.0,211.6499938964844,121.90342712402344,0.0,4.769999980926508,194.7383270263672,362.2659606933594,0.0,0.0,139.0360870361328,0.0,1799.7982788085938,24.19999986886978,309.260009765625,316.3731079101563,3686.917967379093,1.4300000000000002,3688.347967379093,2170.46,5857.377967379093,-66.01000000000045
2025-08-05,0.0,202.49366760253903,0.0,213.75,125.81147766113281,0.0,4.659999847412104,194.368896484375,359.4868469238281,0.0,0.0,140.3174285888672,0.0,1782.4002075195312,25.30000045895576,308.7200012207031,315.99002838134766,3673.298554688692,1.4300000000000002,3674.728554688692,2170.46,5843.758554688692,-66.01000000000045
2025-08-06,0.0,212.80197143554688,0.0,222.30999755859375,126.00985717773438,0.0,4.409999847412104,195.7867126464844,363.4055786132813,0.0,0.0,139.05580139160156,0.0,1793.9988708496094,25.30000045895576,319.9100036621094,313.8390426635742,3716.827836304903,1.4300000000000002,3718.257836304903,2170.46,5887.287836304903,-66.01000000000045
2025-08-07,0.0,219.56771850585935,0.0,223.1300048828125,126.12889099121094,0.0,4.340000152587886,196.2160491943359,364.1053771972656,0.0,0.0,143.07725524902344,0.0,1807.4974060058591,28.599998950958245,322.2699890136719,312.18896484375,3747.121654987335,1.4300000000000002,3748.551654987335,2170.46,5917.581654987335,-66.01000000000045
2025-08-08,0.0,228.86814880371097,0.0,222.69000244140625,130.01710510253906,0.0,4.269999980926509,201.10845947265625,367.7242431640625,0.0,0.0,142.7421417236328,0.0,1826.7951965332031,27.5,329.6499938964844,314.6935729980469,3796.0588641166687,1.4300000000000002,3797.4888641166685,2170.46,5966.518864116669,-66.01000000000045
2025-08-11,0.0,226.95997619628903,0.0,221.3000030517578,128.70779418945312,0.0,4.0700001716613725,200.68911743164065,365.6848754882813,0.0,0.0,142.82098388671875,0.0,1820.3959655761719,26.399999409914006,339.0299987792969,311.8353881835937,3787.8941023647785,1.4300000000000002,3789.3241023647784,2170.46,5958.354102364779,-66.01000000000045
